game_id,max_players,max_playtime,min_age,min_players,min_playtime,name,playing_time,year_published,average_rating,users_rated
135431,8,90,10,3,30,Geek Battle: The Game Of Extreme Geekdom,90,2012,6.00108,93
135530,2,120,10,1,120,Gettysburg 150,120,2013,7.33565,69
136056,2,40,10,2,40,Asante,40,2013,7.01373,1074
136063,5,45,10,2,45,Forbidden Desert,45,2013,7.28635,14698
136440,4,90,10,2,90,Canterbury,90,2013,7.01794,549
136888,4,60,10,2,60,Bruges,60,2013,7.49181,7065
136890,2,60,10,1,60,Hold the Line:  Frederick's War,60,2013,7.69744,78
137154,6,40,10,2,40,Auf Teufel komm raus,40,2013,6.75274,274
137155,5,40,10,2,40,Potato Man,40,2013,6.65644,531
137238,4,30,10,3,30,Time 'n' Space,30,2013,6.3969,432
137290,8,20,10,5,20,Nosferatu,20,2013,6.63981,520
137408,4,90,10,2,90,Amerigo,90,2013,7.50979,3897
138016,6,30,10,2,30,WordARound,30,2013,5.96533,75
138484,4,45,10,2,45,Robots on the Line,45,2015,6.68082,73
138589,6,90,10,2,90,Axis & Allies Air Force Miniatures: Bandits High,90,2013,7.562,50
138614,4,60,10,2,30,Relic Expedition,60,2014,6.76582,213
138973,5,45,10,1,45,Camelot: The Build,45,2013,6.33256,129
139030,13,30,10,2,30,Mascarade,30,2013,6.72192,6087
139326,4,40,10,2,40,UGO!,40,2013,6.64145,506
139572,6,60,10,3,45,Karesansui,60,2013,6.61128,226
139728,4,30,10,2,30,MCS,30,2013,7.08527,55
139899,4,40,10,1,20,VivaJava: The Coffee Game: The Dice Game,40,2014,6.89414,1132
139991,4,60,10,2,60,Fresco: Big Box,60,2014,7.81831,874
140068,5,120,10,2,60,Galaxy Trucker: Anniversary Edition,120,2012,8.27144,2300
140172,4,50,10,2,40,Pelican Bay,50,2013,5.86468,126
140524,4,60,10,1,45,The Daedalus Sentence,60,2016,6.89403,134
141019,4,20,10,1,20,Thermopyles,20,2013,4.26988,125
141035,8,20,10,1,20,Space Sheep!,20,2013,5.46212,195
141087,4,60,10,2,60,Agora,60,2013,5.85906,138
141419,4,20,10,2,20,Koi Pond: A Coy Card Game,20,2013,6.94024,164
141430,99,30,10,2,30,Geek Out!,30,2013,5.81032,565
141653,21,45,10,2,45,Disc Duelers,45,2013,6.85765,268
141734,5,30,10,3,30,String Safari,30,2013,6.1696,101
142039,6,30,10,2,20,Lost Legacy,30,2013,6.52687,885
142121,4,45,10,2,30,Guildhall: Job Faire,45,2013,7.23887,865
142267,6,30,10,2,10,Bomb Squad,30,2013,6.72032,533
142271,6,30,10,3,30,Anomia: Party Edition,30,2013,7.1077,361
142364,5,45,10,1,45,Palmyra,45,2013,6.26229,187
142503,7,10,10,3,10,One Night Werewolf,10,2012,6.2715,338
142924,8,25,10,5,25,Mayday!Mayday!,25,2013,6.52865,230
143404,2,15,10,1,15,Castellion,15,2015,7.1202,845
143405,2,30,10,1,30,Sylvion,30,2015,7.30398,1360
143515,4,75,10,2,60,Coal Baron,75,2013,7.31833,2969
143882,5,45,10,3,45,ebbes,45,2013,6.82091,232
143884,4,30,10,2,30,Machi Koro,30,2012,6.76032,15456
143986,4,60,10,2,60,CV,60,2013,6.80815,3695
144036,6,20,10,2,20,Diamonsters,20,2013,5.60459,519
144270,5,80,10,2,40,Relic Runners,80,2013,6.69528,1628
144325,6,120,10,3,60,Munchkin Legends,120,2013,6.56309,595
144388,4,30,10,2,30,Elevenses,30,2013,6.2977,720
144460,6,60,10,2,60,Cycling Party,60,2014,6.89758,66
144479,6,20,10,2,20,"Myths at War (Nordic, Egyptian and Japanese)",20,2013,7.81511,180
144492,5,75,10,2,45,Packet Row,75,2013,6.2174,519
144506,8,45,10,3,45,Mystères?,45,2013,7.12459,61
144553,4,30,10,2,30,The Builders: Middle Ages,30,2013,6.54881,2603
144728,2,30,10,2,30,Adventure Time Card Wars: Finn vs. Jake,30,2014,6.25366,612
144789,6,45,10,2,45,The Sheep Race,45,2013,6.57588,170
144797,5,150,10,2,60,Argent: The Consortium,150,2015,7.81292,1471
145219,5,180,10,2,120,Craftsmen,180,2013,6.67545,354
145304,6,45,10,3,45,Cthulhu's Vault,45,2015,6.10034,87
